questions,answers,sources,embeddings
How rare is sarcoma cancer?,"Having a rare cancer can feel lonely, but you're not alone. Sarcoma is very rare. It makes up less than 1% of all new cancer cases. That means for every 100 people who get cancer, fewer than 1 person has sarcoma. Sarcoma can happen to people of any age, but it's most common in children and young adults. For example, soft tissue sarcoma is about 7% of all cancers in children. Different types of sarcoma happen more often at different ages - like liposarcoma is usually found in adults between 30 and 60 years old. Even though it's rare, we have experts who know exactly how to help you. Source: http://sarcomacancer.ca/about-sarcoma-cancer",,
"What makes my tumor's ""grade"" important?","Understanding your tumor's grade helps you know what to expect. Grade is how doctors describe how fast your cancer cells are growing and dividing. Think of it like the speed of your cancer. Low-grade means the cancer cells look more like normal cells and grow slowly - this is often good news. High-grade means the cancer cells look very different from normal cells and grow faster - but we have strong treatments for these too. Your doctor uses the grade, along with other information like where your tumor is and how big it is, to decide on the best treatment plan for you. The grade helps predict how your cancer might behave, which helps us stay one step ahead. Source: http://sarcomacancer.ca/about-sarcoma-cancer",,
Should I see a sarcoma specialist or can my local doctor treat me?,"You deserve the very best care, and we want to be honest with you. It's almost always better to see a doctor who specializes in sarcoma, even if it means traveling. Sarcoma is so rare and complex that most regular cancer doctors don't see it very often. Sarcoma specialists have more experience and know the newest treatments. Your local doctor usually won't mind if you want a second opinion from a sarcoma expert - they understand this is important for you. Sometimes the sarcoma specialist can work with your local doctor to help plan your treatment, so you get the best of both worlds. Your health is worth the extra effort. Source: http://sarcomacancer.ca/managing-your-treatment",,
Why should I choose Sinai Health for my care?,"We want you to feel confident in your choice of care. Sinai Health operates Canada's largest team of sarcoma specialists. Here's what this means for you: You work with many different doctors who all understand sarcoma. They treat common, rare, and complex cases every day. They're world leaders in sarcoma research. You get access to the newest treatments and clinical trials that might help you. Most importantly, you're not just a case to us - you're a person who deserves the best possible care. Source: Sinai Health Sarcoma Program (sinaihealth.ca/areas-of-care/cancer/sarcoma)",,
How do I get referred to Sinai Health?,"Getting to us is easier than you might think. You need a referral from a doctor to be seen at Sinai Health's Cancer Care Clinic. Simply contact them at 416-586-4800 ext. 8243 for referral information. Your family doctor or current specialist can make this referral for you. Don't be shy about asking your doctor for this referral - they want you to get the best care possible, and they'll be happy to help connect you with us. Source: Sinai Health Cancer Care Clinic (sinaihealth.ca/areas-of-care/cancer/cancer-care-clinic)",,
When do doctors recommend surgery for sarcoma?,"We know surgery can feel scary, but it's often the best path forward. Surgery means your doctor will remove the tumor from your body. This gives you the best chance to get better. Your doctor will only suggest surgery after careful talks with your care team to make sure it's the right choice for you. Sometimes you might need chemotherapy or radiation before surgery to make the surgery work better. Your team will talk with you about the best plan for your situation. Remember, we only recommend surgery when we believe it will help you. Source: https://torontosarcoma.ca/patient-information/what-to-expect-during-treatment/surgery/",,
How do I prepare for sarcoma surgery?,"We'll help you get ready step by step. First, you'll meet with your doctor to fill out forms and give permission for the surgery. Then you'll visit a pre-surgery clinic where you'll need your health card and medicine list. Please bring a family member or friend to help you ask questions and remember information - two sets of ears are better than one! Here are important questions to ask: Will I stay in the hospital? What should I bring on surgery day? What side effects might happen? How will my pain be treated? What foods can I eat? Don't be shy - no question is too small. Source: https://torontosarcoma.ca/patient-information/what-to-expect-during-treatment/surgery/",,
What types of surgery might I need for sarcoma?,"Every surgery is planned just for you and your specific needs. The type of surgery depends on where your tumor is and how big it is. Wide local excision means removing the cancer plus some healthy tissue around it to make sure all cancer cells are gone. Limb-sparing surgery removes a tumor from your arm or leg without taking off the whole arm or leg - this is what most people have, and it works really well! Sometimes doctors do reconstructive surgery to rebuild the area using tissue from another part of your body. Amputation (removing part or all of a limb) is very rare now - only about 5% of the time when the limb won't work properly after other surgery. We always try our hardest to save your arm or leg. Source: http://sarcomacancer.ca/about-sarcoma-cancer",,
What questions should I ask my doctor before surgery?,Asking questions helps you feel more in control. Here are important ones to ask: How will this disease be treated? What are my treatment choices? Which treatment do you think is best for me and why? How likely is the treatment to work? What are the risks and side effects? How will side effects be managed? Who will do my surgery? When will treatment start? Where will treatment happen - do I need to stay in the hospital? How should I prepare? What might happen if I don't have treatment? Will I need to change my daily activities? Can I keep working during treatment? Write these down and bring them with you - your doctor expects and welcomes your questions! Source: http://sarcomacancer.ca/about-sarcoma-cancer,,
Will I be able to keep my arm or leg?,"This is probably one of your biggest worries, and we have good news. Most patients can keep their arm or leg. Doctors at Sinai Health specialize in limb-sparing surgery, which means saving your arm or leg while removing the cancer completely. They can rebuild the area using metal plates, bone grafts, or implants. Amputation is only done when absolutely necessary for your health - this happens very rarely. Our goal is always to help you keep living your life as normally as possible. Source: Sinai Health Bone Cancer Information (sinaihealth.ca/areas-of-care/cancer/sarcoma/bone-cancer)",,
What kind of surgeon will do my operation?,You'll be in the hands of true experts. Sinai Health uses doctors who specialize in bone cancer surgery called orthopaedic oncologists. These experts know how to remove tumors while keeping as much healthy tissue as possible. They do these surgeries every day and understand exactly how to help you. You can trust that your surgeon has seen cases like yours many times before. Source: Sinai Health Bone Cancer Information (sinaihealth.ca/areas-of-care/cancer/sarcoma/bone-cancer),,
What should I expect at my pre-admission appointment?,"This appointment helps us make sure you're ready and safe for surgery. During your pre-admission appointment, a nurse will review your medical history with you, perform a gentle physical exam, and may collect blood and urine samples. You'll also have an anesthetic review to help plan the right type of anesthetic for you. The nurse will explain exactly what you need to do to prepare for your surgery - they'll go through everything slowly and clearly. You may also meet with other health care providers like an anesthesiologist, pharmacist, or social worker. Everyone you meet is there to help you feel prepared. Source: Sinai Health Pre-Admission Unit (sinaihealth.ca/areas-of-care/surgery/pre-admission-unit)",,
Do I need to fast before surgery?,"Yes, and we know this can be hard, but it's for your safety. Your stomach must be completely empty before surgery. You might need to restrict food and drink in the days before your surgery. The nurse at your pre-admission visit will give you specific instructions about when to stop eating and drinking. It is very important that you follow all fasting instructions to ensure your safety. We know being hungry isn't fun, but it helps prevent serious problems during surgery. Source: Sinai Health Surgical Cancer Treatment & Pre-Admission Unit (sinaihealth.ca/areas-of-care/cancer/surgical-cancer-treatment)",,
Should I continue taking my medications before surgery?,"Your regular medications are important, so keep taking them unless we tell you otherwise. Keep taking all your usual medications unless your health care team tells you to stop. Tell your physician about any medical problems, allergies, or medications you are taking (including prescription, non-prescription, and herbal supplements). Your care team will tell you if any medications need to be stopped before surgery. When in doubt, ask - we'd rather answer your question than have you guess. Source: Sinai Health Surgical Cancer Treatment & Patient Blood Management (sinaihealth.ca/areas-of-care/cancer/surgical-cancer-treatment)",,
What happens if my health changes before surgery?,"Your safety is our top priority, so please keep us informed. Please notify your physician immediately if there is any change in your health between your pre-admission visit and the day of surgery. Any changes in your health could affect your surgery, so it's very important to let your team know right away. This includes things like getting a cold, fever, or any new symptoms. Don't worry about bothering us - we want to know! Source: Sinai Health Your Surgery (sinaihealth.ca/areas-of-care/surgery/your-surgery)",,
Do I need someone to drive me home after surgery?,"Yes, you'll need support getting home safely. You must arrange ahead of time for someone to take you home from the hospital and stay with you for 24 hours after your surgery. It is your responsibility to make this arrangement before the day of your operation. Do not plan to drive yourself home. This isn't just a rule - it's for your safety. The medications from surgery make it unsafe to be alone or drive. Source: Sinai Health Your Surgery (sinaihealth.ca/areas-of-care/surgery/your-surgery)",,
What questions should I ask my doctor before surgery?,These questions will help you feel more prepared. Important questions include: Does this surgery require a hospital stay? What should I bring the day of surgery? Are there any tests needed before surgery? What are possible side effects and when would they start? Which side effects should I report right away and who do I call? How will pain be treated after surgery? Is a special diet needed? Are there special things I should or shouldn't do? When are follow-up visits scheduled? Bring this list with you - your doctor wants you to understand everything. Source: Toronto Sarcoma Surgery (torontosarcoma.ca/patient-information/what-to-expect-during-treatment/surgery/),,
What happens on the day of surgery?,"Knowing what to expect can help calm your nerves. You'll register at Perioperative Services on the 7th floor. It's important to arrive on time - if you're late, your surgery may be cancelled. You'll meet a surgical registration clerk who will confirm your information and give you a wristband. Then you'll change into a hospital gown and store your belongings in a locked locker - they'll be safe there. Before surgery, you'll meet with a nurse, anesthesiologist, and possibly other surgical team members. Everyone will introduce themselves and make sure you're comfortable. Source: Sinai Health Your Surgery (sinaihealth.ca/areas-of-care/surgery/your-surgery)",,
What should I do while waiting for my surgery date?,"Waiting can be the hardest part, but staying healthy helps. Continue to stay active and eat healthy while you wait. Don't forget to follow any special diets or guidelines given to you at your pre-admission clinic visit. Try to remain calm even though anxiety may increase as the day approaches. It's normal to feel nervous - talk to your loved ones or care team if you need support. Source: Toronto Sarcoma Surgery (torontosarcoma.ca/patient-information/what-to-expect-during-treatment/surgery/)",,
Is my pre-admission appointment mandatory?,"Yes, this appointment is essential for your safety. Attending your scheduled pre-admission appointment is crucial. If you miss it, your surgery may need to be cancelled or rescheduled. This appointment is essential for preparing you safely for surgery. We use this time to make sure everything is perfect for your surgery day. If something comes up and you can't make it, please call us right away to reschedule. Source: Sinai Health Pre-Admission Unit (sinaihealth.ca/areas-of-care/surgery/pre-admission-unit)",,
Where do I go when I arrive for surgery?,"We'll make finding your way as easy as possible. Take the Murray elevators to the 7th floor and register at Perioperative Services. It is important to arrive on time. If you arrive late, your surgery may be cancelled or rescheduled to another date. When you arrive, you will meet a surgical registration clerk who will confirm your information and give you a wristband. The staff will be expecting you and will guide you through each step. Source: Sinai Health Your Surgery (sinaihealth.ca/areas-of-care/surgery/your-surgery)",,
What happens after I check in for surgery?,"Once you're checked in, we'll help you get comfortable. After you have registered, you will change into a hospital gown in a private area. Your belongings can be safely stored in a digitally locked locker while you are in surgery. Before going into the operating room, you will meet with a nurse, anesthesiologist, and possibly another member of the surgical team. They will review your health information and answer any questions you may have. This is your last chance to ask questions - please speak up if anything worries you. Source: Sinai Health Your Surgery (sinaihealth.ca/areas-of-care/surgery/your-surgery)",,
Where do I go for the Cancer Care Clinic?,"Finding the clinic is simple. Take the Murray Street elevators to access the Cancer Care Clinic. When you arrive, check in at the front desk in the reception area. The receptionist will greet you warmly, answer questions about your visit, and provide you with any special instructions. Show your health card (OHIP) or any other insurance coverage you have. The staff there are used to helping new patients find their way. Source: Sinai Health Cancer Care Clinic (sinaihealth.ca/areas-of-care/cancer/cancer-care-clinic)",,
Can I bring someone with me on surgery day?,"Yes, and we encourage you to bring support. Patients undergoing surgery may have one caregiver accompany them the day of surgery. Once you are taken into the operating room, caregivers can wait in the surgical family lounge on the 7th floor. For safety, caregivers are required to wear masks and eating or drinking is not allowed in the surgical family lounge. Having someone there can really help with your comfort and peace of mind. Source: Sinai Health Your Surgery (sinaihealth.ca/areas-of-care/surgery/your-surgery)",,
What phone numbers should I have for surgery day?,"Keep these numbers handy - they're your lifeline to us. For general surgery information, call 416-586-4800 ext. 5272. Caregivers can contact the hospital by calling the patient inquiry line at 416-586-8300. If you have questions on your upcoming appointments or procedures, contact your care provider or clinic directly. Save these in your phone now so you have them when you need them. Source: Sinai Health Your Surgery & COVID-19 Procedures (sinaihealth.ca/areas-of-care/surgery/your-surgery)",,
Where can I get help if I'm having trouble finding my way?,"Don't worry - getting lost in a big hospital is normal, and help is available. Most units will require a wristband from the Security desk, which can be found beside the Murray entrance on the main level. The security desk staff can help you with directions and provide you with the wristband you need to access patient areas. They're friendly and used to helping people find their way - don't be embarrassed to ask! Source: Sinai Health Visitor Information (sinaihealth.ca/patients-and-visitors/visitor-information-for-mount-sinai)",,
What should I bring on the day of surgery?,"Here's your checklist to make sure you have everything. Bring your health card (OHIP), completed pre-admission questionnaire and pre-operative health questionnaire, any documents your surgeon gave you, two reusable bags (one for shoes, one for clothes) that fit in lockers, and your CPAP machine if you use one. Remember to arrange for someone to take you home and stay with you for 24 hours after surgery. Pack the night before so you're not stressed in the morning. Source: Sinai Health What to Bring & Your Surgery (sinaihealth.ca/patients-and-visitors/what-to-bring-to-mount-sinai)",,
How do I get to Mount Sinai Hospital?,"Getting here is easier than you might think. Mount Sinai Hospital is located at 600 University Avenue. Take Line 1 to Queen's Park Station and follow signs for Mount Sinai Hospital. For driving, parking is available off Murray Street behind the main hospital building. Patient drop-off and pick-up is at the Murray Street entrance. If you're nervous about finding it, consider doing a practice run before your surgery day. Source: Sinai Health Maps and Directions (sinaihealth.ca/patients-and-visitors/mount-sinai-maps-directions-and-parking) Important Reminders: We know there's a lot to remember, so here are the key points:     • Please arrive on time - we've reserved this time just for you     • Bring your support person if you'd like (one person allowed)     • Have your ride home arranged ahead of time     • Bring all required documents and your health card Remember, we're here to help you through this. You're not alone.",,
What should I expect while recovering from sarcoma surgery?,"Recovery is different for everyone depending on your surgery. Your care team will give you specific instructions about what to eat, what activities you can do, how to care for your wound, and how to manage pain. You'll know which problems to report right away and who to call. You'll have follow-up visits scheduled. Try to stay active and eat healthy foods while following the special instructions your team gave you. It's normal to feel worried - your team is there to help. Source: https://torontosarcoma.ca/patient-information/what-to-expect-during-treatment/surgery/",,
What help will I get with moving after surgery?,"You may work with physical therapists to help you move and get stronger after surgery. Your medical team will closely watch your healing and help you get back to doing the things you want to do. Everyone heals differently, so your team will make a plan just for you. Source: Sinai Health Sarcoma Program (sinaihealth.ca/areas-of-care/cancer/sarcoma)",,
How will my doctors know if I'm healing well?,"Your doctors will watch for signs that you're healing well through regular follow-up appointments. They'll check your wound, see how you're moving, and track your progress. The surgical team will discuss if you need any additional treatments as you heal. Source: Sinai Health Sarcoma Program (sinaihealth.ca/areas-of-care/cancer/sarcoma)",,
When will I know if my surgery was successful?,"Your surgical team will talk with you about how the surgery went and what they found. As you heal, they'll be able to tell you more about how well the surgery worked. They'll also discuss any additional treatments you might need based on what they learned during your surgery. Source: Sinai Health Sarcoma Program (sinaihealth.ca/areas-of-care/cancer/sarcoma)",,
How do I manage pain after my sarcoma surgery?,It's normal to have pain after surgery. Your care team wants you to be comfortable while you heal. You will get pain medicine in the hospital and likely have some to take home. Tell your nurses right away if your pain gets worse or the medicine isn't helping. Rate your pain from 1 to 10 so your team knows how you're feeling. Taking your pain medicine as directed helps you heal better and move around sooner. Some mild pain and soreness can last for several weeks as you heal. Don't worry about asking for help with pain - your comfort is important for healing!  Source: https://www.sinaihealth.ca/areas-of-care/surgery/your-surgery,,
How do I care for my surgical site and dressings?,Your surgical site needs special care to heal properly and prevent infection. Your nurse will teach you how to care for your incision before you go home. Keep your dressing clean and dry unless your doctor says otherwise. Don't remove or change the dressing unless your care team tells you to. Look at your incision site every day for any changes. You may see some clear or light pink drainage - this is often normal. Your incision may look red and feel tender at first - this usually gets better each day. Your care team will give you complete instructions before you leave the hospital. Follow these carefully!  Source: https://www.sinaihealth.ca/areas-of-care/surgery/your-surgery,,
When can I shower after my sarcoma surgery?,"Your doctor will tell you when it's safe to shower. You may need to wait 24-48 hours or longer before showering. Some patients need to keep their incision completely dry for the first week. Others may be able to gently shower with special waterproof coverings. Don't take baths, swim, or soak in hot tubs until your doctor says it's okay. When you can shower, use mild soap and pat the area dry gently. Don't scrub or rub your incision area. Always ask your care team for specific instructions about when and how you can get your incision wet.  Source: https://www.sinaihealth.ca/areas-of-care/surgery/your-surgery",,
What activities can I do after my sarcoma surgery?,"Moving your body helps you heal, but you need to start slowly. Start with gentle walking as soon as your care team says it's okay. Avoid heavy lifting (usually nothing over 5-10 pounds at first). Don't do strenuous exercise or sports until your doctor clears you. You may need physical therapy to help you get stronger. Listen to your body - rest when you feel tired. Gradually increase your activity as you feel better. The Toronto Sarcoma Program has rehabilitation specialists who can help you safely return to your normal activities. Source: https://torontosarcoma.ca/patient-information/",,
What are the warning signs I should watch for after surgery?,"Call your doctor or go to the emergency room right away if you have any of these warning signs. Infection signs include: fever over 100.4°F (38°C), increased redness around your incision that spreads, pus or bad-smelling drainage from your incision, red streaks going away from your incision, or your incision becomes more painful instead of better. Other warning signs include: chest pain or trouble breathing, severe pain that doesn't get better with medicine, excessive bleeding from your incision, your incision opens up, severe nausea and vomiting, or signs of blood clots like leg swelling, pain, or warmth. Don't wait - it's always better to call and ask questions than to worry!  Source: https://www.sinaihealth.ca/areas-of-care/surgery/your-surgery",,
What is chemotherapy and how does it work for sarcoma?,"Chemotherapy uses special medicines to fight cancer cells. These medicines travel through your blood to reach cancer cells anywhere in your body. You might hear this called ""chemo"" or ""systemic treatment."" A cancer medicine doctor called a medical oncologist will be in charge of your care. The purpose might be to shrink your tumor before surgery or to stop it from growing. Different types of sarcoma respond better to different medicines. Source: https://torontosarcoma.ca/patient-information/what-to-expect-during-treatment/chemotherapy/",,
What should I expect during chemotherapy appointments?,"You'll probably visit the hospital every week. One complete round of treatment is called a ""cycle."" You might stay in the hospital or just come for the day. Appointments are at Princess Margaret (4th Floor) or Mount Sinai Hospital (6th Floor). Bring your health card and things to do like books or a laptop because treatments can take a long time. Your care team understands you might be worried about side effects and is there to answer your questions.  Source: https://torontosarcoma.ca/patient-information/what-to-expect-during-treatment/chemotherapy/",,
What questions should I ask about my chemotherapy?,Good questions to ask include: What medicines will I get? How will they be given to me? How long will my treatment last? What side effects might happen and when? How will side effects be treated? Which problems should I report right away and who do I call? Do I need to eat special foods? What activities should I avoid? When will we know if the treatment is working? Can I drive myself or should someone drive me? Source: https://torontosarcoma.ca/patient-information/what-to-expect-during-treatment/chemotherapy/,,
What is radiation therapy and how does it help with sarcoma?,"Radiation treatment uses high-energy beams (like very strong X-rays) to kill cancer cells. The beams are aimed right at the tumor to destroy the cancer. It's used to stop tumors from growing or spreading, or to help with pain. You might get radiation by itself or with surgery or chemotherapy. Treatment is given in small amounts over several days or weeks. A radiation doctor will oversee your care and work with your other doctors. Source: https://torontosarcoma.ca/patient-information/what-to-expect-during-treatment/radiation-treatment/",,
What happens during radiation therapy appointments?,"You'll go to Princess Margaret Cancer Centre for treatment. Bring your health card, medicine list, and pacemaker card if you have one. First, you'll have a planning appointment using a special scanner to map your treatment area. Then you'll have daily or weekly treatments plus weekly check-ins with your radiation doctor and nurse. These check-ins are great times to ask questions about how you're feeling and any side effects.  Source: https://torontosarcoma.ca/patient-information/what-to-expect-during-treatment/radiation-treatment/",,
What should I ask about radiation treatment?,Important questions include: Why do I need radiation for my type of cancer? What kind of radiation will I get? How should I prepare for treatment? Can I eat before treatment? Do I need to follow a special diet? How often will I get treatment and how long does each visit take? How long will I be getting radiation? When will we know if it's working? Source: https://torontosarcoma.ca/patient-information/what-to-expect-during-treatment/radiation-treatment/,,
When is chemotherapy used for sarcoma?,Chemotherapy uses special medicines that travel through your blood to fight cancer cells anywhere in your body. You might get chemotherapy before surgery to shrink your tumor and make it easier to remove. Or you might get it after surgery to kill any cancer cells that might be left behind. Sometimes chemotherapy is used when sarcoma has already spread to other parts of your body. The type of chemotherapy medicine depends on what type of sarcoma you have. Most chemotherapy can be given during day visits to the hospital. Source: http://sarcomacancer.ca/about-sarcoma-cancer,,
What is targeted therapy and how is it different from chemotherapy?,"Targeted therapy is a newer type of treatment that attacks specific parts of cancer cells while trying not to hurt your normal, healthy cells. Think of it like a key that only fits the lock on cancer cells. Your doctor might test your tumor to see if it has special proteins or genes that targeted therapy can attack. This is different from regular chemotherapy, which affects both cancer cells and some normal cells. Targeted therapy often has fewer side effects because it's more precise in what it targets. Source: http://sarcomacancer.ca/about-sarcoma-cancer",,
How does radiation therapy work for sarcoma?,"Radiation therapy uses high-energy beams (like very strong X-rays) to kill cancer cells. The beams come from a machine outside your body and are aimed right at your tumor. You might get radiation before surgery to shrink your tumor, or after surgery to kill any cancer cells that might be left behind. Radiation can help save your arm or leg by making surgery more effective. The radiation can cause side effects like skin that looks sunburned, but your team will give you creams to help with this. Source: http://sarcomacancer.ca/about-sarcoma-cancer",,
Where exactly do I go for chemotherapy at Sinai Health?,"For outpatient chemotherapy (where you go home the same day), go to the Cancer Care Clinic on the 6th floor at 600 University Avenue. For treatments where you need to stay overnight, go to the 11th floor, Room 1101. The clinic is open Monday to Friday, 7:30 AM to 5 PM. Source: Sinai Health Cancer Care Clinic & In-Hospital Chemotherapy (sinaihealth.ca/areas-of-care/cancer/cancer-care-clinic)",,
Can I bring someone with me to chemotherapy?,"Yes, you can bring one support person with you to the Cancer Care Clinic for outpatient treatments. Having someone there can help you feel more comfortable and remember important information. Source: Sinai Health Cancer Care Clinic (sinaihealth.ca/areas-of-care/cancer/cancer-care-clinic)",,
What exactly should I bring to my chemotherapy appointments?,"Bring your health cards and insurance information, a complete list of all medications including vitamins and herbs, recent test results from other doctors, comfort items like books or music with headphones, snacks and drinks (they have a fridge you can use), and contact information for your pharmacy. Source: Sinai Health In-Hospital Chemotherapy (sinaihealth.ca/areas-of-care/cancer/sarcoma/in-hospital-chemotherapy-for-sarcoma)",,
What happens step-by-step on my treatment days?,"First you check in and show your health card, then you get blood tests to make sure your body is ready for chemotherapy, then you meet your doctor who checks how you're feeling and reviews your blood results, and finally if everything looks good, you receive your chemotherapy treatment. Source: Sinai Health In-Hospital Chemotherapy (sinaihealth.ca/areas-of-care/cancer/sarcoma/in-hospital-chemotherapy-for-sarcoma)",,
How will my team help me manage side effects?,"Your care team at Sinai Health will help you manage side effects like feeling very tired, nausea and throwing up, hair loss, not feeling hungry, and diarrhea. They can also help if your blood counts get low, which makes infections more likely. Always tell them exactly how you're feeling - they're there to help make treatment as comfortable as possible. Source: Sinai Health In-Hospital Chemotherapy (sinaihealth.ca/areas-of-care/cancer/sarcoma/in-hospital-chemotherapy-for-sarcoma)",,
What kind of follow-up care will I need after sarcoma treatment?,"You'll have regular check-ups at special clinics that focus on sarcoma patients. There are bone tumor clinics at Mount Sinai Hospital and soft tissue sarcoma clinics at Princess Margaret Hospital. These clinics have teams of doctors who specialize in caring for people after sarcoma treatment. If you can't get to these clinics, your doctors will arrange for check-ups closer to where you live.  Source: https://torontosarcoma.ca/",,
How often will I need follow-up appointments?,"How often you need check-ups depends on your type of sarcoma, what treatment you had, and your individual situation. Usually, you'll have more frequent visits right after treatment, then fewer visits as time goes on. Your doctors will create a schedule that's right for you. They'll also teach you what signs to watch for between appointments and when to call them.",https://torontosarcoma.ca/,
What should I watch for after my sarcoma treatment?,"After treatment, it's important to keep watching for any new lumps or changes in your body. Sarcoma can sometimes come back in the same place or appear in a new location. Go to all your follow-up appointments, even if you feel fine. Your doctor will do scans and exams to check that you're staying healthy. Tell your doctor right away if you notice any new lumps, pain that doesn't go away, or other changes in how you feel. Early detection makes treatment much more successful.",http://sarcomacancer.ca/about-sarcoma-cancer,
How often will I need check-ups after sarcoma treatment?,"Your doctor will create a follow-up schedule that's right for your type of sarcoma and treatment. Usually, you'll have more frequent visits right after treatment ends, then less frequent visits as time goes on. Your check-ups will include physical exams and scans to make sure the cancer hasn't come back. Your doctor is the best person to tell you exactly how often you need visits. Don't skip appointments - they're very important for catching any problems early.",http://sarcomacancer.ca/about-sarcoma-cancer,
What support services can help me after treatment?,"Support services include financial support for money concerns related to your cancer care, spiritual support with chaplains and spiritual care providers, family resources to help your loved ones cope, young adult programs if you're between ages 15-39, and social work support to help with insurance, work, and daily life challenges.",Sinai Health Sarcoma Program (sinaihealth.ca/areas-of-care/cancer/sarcoma),
